return
0.379
-0.119
-0.285
-0.471
-0.152
0.466
-0.059
0.414
0.279
-0.386
0.252
-0.055
-0.153
-0.179
0.124
0.195
0.138
0.307
-0.119
0
-0.007
0.103
0.218
0.165
0.118
-0.066
0.45
0.264
0.026
-0.143
0.381
0.085
-0.03
0.231
-0.118
0.189
0.13
0.091
-0.131
0.201
0.077
-0.114
0.001
0.108
0.156
-0.174
-0.297
0.316
0.192
-0.115
0.011
0.123
0.258
-0.097
0.148
0.173
0.014
0.263
0.146
0.02
0.124
0.273
-0.066
0.263
0.045
0.071
-0.015
0.341
0.203
0.31
0.267
0.195
-0.101
-0.13
-0.234
0.264
0.09
0.03
0.136
0.035
-0.385
0.235
0.128
0
0.134
0.296
0.114
-0.007
0.095
0.194
-0.062
0.289
